time,x,y,z
2.84,-4.689665966,0.630639032,29.62687785
2.842,-4.58418409,0.64369546,29.46339418
2.844,-4.480550631,0.654926602,29.30080327
2.846,-4.378764294,0.664416689,29.13911875
2.848,-4.27882216,0.672247537,28.97835227
2.85,-4.180719775,0.678498548,28.81851359
2.852,-4.084451221,0.683246711,28.65961075
2.854,-3.990009202,0.68656662,28.50165022
2.856,-3.89738511,0.688530477,28.34463695
2.858,-3.8065691,0.689208119,28.18857454
2.86,-3.717550166,0.688667045,28.03346533
2.862,-3.630316203,0.686972434,27.8793105
2.864,-3.54485408,0.684187182,27.72611018
2.866,-3.461149701,0.680371933,27.57386352
2.868,-3.379188073,0.67558512,27.42256878
2.87,-3.298953363,0.669882994,27.27222343
2.872,-3.220428958,0.663319673,27.12282421
2.874,-3.143597526,0.655947185,26.97436721
2.876,-3.068441065,0.647815502,26.8268479
2.878,-2.994940962,0.638972593,26.68026127
2.88,-2.923078043,0.62946447,26.5346018
2.882,-2.852832619,0.61933523,26.38986358
2.884,-2.784184539,0.608627103,26.24604033
2.886,-2.717113231,0.597380504,26.10312545
2.888,-2.651597749,0.58563408,25.96111206
2.89,-2.587616813,0.573424751,25.81999305
2.892,-2.525148851,0.560787766,25.67976112
2.894,-2.464172034,0.547756747,25.5404088
2.896,-2.404664318,0.534363738,25.40192848
2.898,-2.346603475,0.520639253,25.26431245
2.9,-2.289967129,0.506612319,25.12755294
2.902,-2.234732783,0.492310528,24.9916421
2.904,-2.180877857,0.477760078,24.85657206
2.906,-2.128379712,0.462985822,24.72233496
2.908,-2.077215677,0.448011309,24.5889229
2.91,-2.027363076,0.43285883,24.45632803
2.912,-1.978799255,0.417549461,24.32454255
2.914,-1.931501601,0.402103104,24.19355869
2.916,-1.885447566,0.386538529,24.06336872
2.918,-1.840614687,0.370873416,23.93396503
2.92,-1.79698061,0.35512439,23.80534006
2.922,-1.754523102,0.339307065,23.67748633
2.924,-1.713220067,0.32343608,23.55039648
2.926,-1.673049573,0.307525133,23.42406323
2.928,-1.633989857,0.291587021,23.29847942
2.93,-1.596019341,0.275633671,23.17363799
2.932,-1.559116647,0.259676179,23.04953199
2.934,-1.523260611,0.243724839,22.9261546
2.936,-1.488430289,0.227789174,22.8034991
2.938,-1.454604971,0.211877974,22.68155891
2.94,-1.421764192,0.195999317,22.56032754
2.942,-1.389887737,0.180160608,22.43979866
2.944,-1.358955653,0.164368598,22.31996603
2.946,-1.328948252,0.148629419,22.20082353
2.948,-1.299846123,0.132948608,22.08236518
2.95,-1.271630135,0.11733113,21.96458512
2.952,-1.244281441,0.101781408,21.84747757
2.954,-1.217781486,0.086303343,21.73103692
2.956,-1.192112012,0.07090034,21.61525763
2.958,-1.167255057,0.05557533,21.50013431
2.96,-1.143192963,0.040330787,21.38566164
2.962,-1.119908377,0.025168759,21.27183445
2.964,-1.097384252,0.010090877,21.15864766
2.966,-1.07560385,-0.004901621,21.04609628
2.968,-1.054550742,-0.01980787,20.93417545
2.97,-1.034208817,-0.034627359,20.82288039
2.972,-1.014562272,-0.049359918,20.71220643
2.974,-0.995595616,-0.064005701,20.602149
2.976,-0.977293671,-0.078565169,20.49270359
2.978,-0.959641574,-0.09303907,20.38386583
2.98,-0.942624775,-0.107428433,20.27563141
2.982,-0.926229029,-0.121734551,20.1679961
2.984,-0.910440405,-0.135958965,20.06095577
2.986,-0.895245283,-0.150103452,19.95450637
2.988,-0.880630347,-0.164170014,19.84864391
2.99,-0.866582587,-0.178160868,19.7433645
2.992,-0.853089295,-0.192078433,19.63866432
2.994,-0.840138069,-0.205925317,19.53453962
2.996,-0.827716801,-0.219704311,19.43098671
2.998,-0.815813684,-0.233418377,19.32800198
3,-0.804417201,-0.247070642,19.22558189
3.002,-0.79351613,-0.260664383,19.12372295
3.004,-0.783099536,-0.274203024,19.02242175
3.006,-0.773156769,-0.287690127,18.92167492
3.008,-0.763677463,-0.301129387,18.82147918
3.01,-0.754651531,-0.314524619,18.72183127
3.012,-0.746069163,-0.327879754,18.62272802
3.014,-0.737920823,-0.341198837,18.52416629
3.016,-0.730197241,-0.354486016,18.426143
